"LANGUAGE","English"
"FAILED","failed"
"MISSING","missing"
"DUPLICATE","duplicate"
"DUPLICATES","duplicates"
"SCENES_AND_ASSETS","Scenes and Assets:"
"MAIN","Main:"
"SIMULATION","Simulation:"
"ASSETS_LOADER","Assets Loader:"
"NEW_LOADING_OPTIONS","New loading options"
"MAJOR_GAME_UPDATE","Major game update detected. Mod is now inactive."
"ASSETS_REPORT","Assets Report"
"ASSETS_REPORT_FOR_CS","Assets report for Cities: Skylines."
"TO_STOP_SAVING","To stop saving these files, disable the option 'Save assets report' in Loading Screen Mod."
"ASSETS_THAT_FAILED","Assets that failed to load"
"NO_FAILED_ASSETS","No failed assets."
"ASSET_ERRORS","Asset errors"
"NO_ERRORS_FOUND","No errors found."
"ASSET_WARNINGS","Asset warnings"
"NO_WARNINGS","No warnings."
"ASSETS_THAT_ARE_MISSING","Assets that are missing"
"SECTION_MIGHT_BE_INCOMPLETE","Note: this section might be incomplete because some assets are not reported."
"PLACED_BUT_MISSING","There are two reasons for an asset to appear in this section: (1) The asset is placed in the city but is missing (2) The asset is used by some other asset but is missing."
"NO_MISSING_ASSETS","No missing assets."
"TO_TRACK_MISSING","To track missing assets, enable the option 'Load used assets'."
"DUPLICATE_NAMES","Duplicate asset names"
"THESE_ARE_USED","The following custom assets are used in this city"
"NO_USED_ASSETS","No used assets."
"THESE_ARE_UNNECESSARY","The following enabled assets are currently unnecessary (not used in this city)"
"ENABLED_BUT_UNNECESSARY","There are two reasons for an asset to appear in this section: (1) The asset is enabled but unnecessary (2) The asset is included in an enabled district style but is unnecessary."
"NO_UNNECESSARY_ASSETS","No unnecessary assets."
"TO_TRACK_USED","To track used assets, enable the option 'Load used assets'."
"LOADING_STATS","Loading stats"
"PERFORMANCE","Performance"
"CUSTOM_ASSETS_LOADED","Custom assets loaded"
"ASSETS","assets"
"LOADING_SPEED","Loading speed"
"ASSETS_PER_SECOND","assets / second"
"ASSETS_LOADING_TIME","Custom assets loading time"
"MINUTES_SECONDS","minutes:seconds"
"TOTAL_LOADING_TIME","Total loading time"
"PEAK_MEMORY_USAGE","Peak memory usage"
"VIRTUAL_MEMORY","Virtual memory"
"SHARING_OF_RESOURCES","Sharing of custom asset resources"
"TEXTURES","Textures"
"TIMES","times"
"MATERIALS","Materials"
"MESHES","Meshes"
"SKIPPED_PREFABS","Skipped prefabs"
"BUILDING_PREFABS","Building prefabs"
"VEHICLE_PREFABS","Vehicle prefabs"
