"LANGUAGE","Türkçe"
"MOD_DESCRIPTION","Oyun yükleme sürecini iyileştirir"
"FAILED","başarısız"
"MISSING","eksik"
"DUPLICATE","kopyala"
"DUPLICATES","kopyalar"
"SCENES_AND_ASSETS","Sahneler ve Varlıklar"
"MAIN","Ana İşlem"
"SIMULATION","Simülasyon işlemi"
"ASSETS_LOADER","Özel varlıklar"
"NEW_LOADING_OPTIONS","Yeni yükleme seçenekleri"
"MAJOR_GAME_UPDATE","Büyük oyun güncellemesi algılandı. Mod artık etkin değil."
"ASSETS_REPORT","Varlık Raporu"
"ASSETS_REPORT_FOR_CS","Cities: Skylines için varlıklar raporu."
"TO_STOP_SAVING","Bu dosyaları kaydetmeyi durdurmak için, Yükleme Ekranı Modunda 'Varlıklar raporunu kaydet' seçeneğini devre dışı bırakın."
"ASSETS_THAT_FAILED","Yüklenemeyen varlıklar"
"NO_FAILED_ASSETS","Başarısız varlık yok."
"ASSET_ERRORS","Öğe hataları"
"NO_ERRORS_FOUND","Hata bulunamadı."
"ASSET_WARNINGS","Varlık uyarıları"
"NO_WARNINGS","Uyarı yok."
"ASSETS_THAT_ARE_MISSING","Eksik varlıklar"
"SECTION_MIGHT_BE_INCOMPLETE","Not: Bazı varlıklar raporlanmadığından bu bölüm eksik olabilir."
"PLACED_BUT_MISSING","Bir varlığın bu bölümde görünmesinin iki nedeni vardır: (1) Varlık şehre yerleştirildi ancak kayıp (2) Varlık başka bir varlık tarafından kullanılıyor ancak kayıp."
"NO_MISSING_ASSETS","Eksik varlık yok."
"TO_TRACK_MISSING","Eksik varlıkları izlemek için 'Kullanılan varlıkları yükle' seçeneğini etkinleştirin."
"DUPLICATE_NAMES","Yinelenen varlık adları"
"THESE_ARE_USED","Aşağıdaki özel varlıklar bu şehirde kullanılıyor"
"NO_USED_ASSETS","Kullanılan varlık yok."
"THESE_ARE_UNNECESSARY","Aşağıdaki etkin varlıklar şu anda gereksiz (bu şehirde kullanılmıyor)"
"ENABLED_BUT_UNNECESSARY","Bir varlığın bu bölümde görünmesinin iki nedeni vardır: (1) Varlık etkindir ancak gereksizdir (2) Varlık etkin bir bölge stiline dahil edilmiştir ancak gereksizdir."
"NO_UNNECESSARY_ASSETS","Gereksiz varlık yok."
"TO_TRACK_USED","Kullanılan varlıkları izlemek için 'Kullanılan varlıkları yükle' seçeneğini etkinleştirin."
"LOADING_STATS","İstatistikler yükleniyor"
"PERFORMANCE","Performans"
"CUSTOM_ASSETS_LOADED","Yüklenen özel varlıklar"
"ASSETS","varlık"
"LOADING_SPEED","Yükleme hızı"
"ASSETS_PER_SECOND","varlıklar / saniye"
